crossing_id,ntl_500m,ntl_2km,ntl_cv_2km,pop_500m,pop_2km,pop_total_2km,travel_time_min,agri_suit_500m,agri_suit_2km,road_dens_2km,road_count_2km,rwi_2km,rwi_dist_km,dep_ratio_2km
XNG-00043,0,0,0,38.8956820372944,40.22196887742397,481.1630516052246,58.00112533569336,93.55866241455078,93.57766505650112,2.665185283337195,64,-0.998,1.1669969409271586,0.31965582088284983
XNG-00044,0,0,0,39.22594644548808,41.338372128368135,565.1637153625488,58.00112533569336,93.52789306640625,93.56616401672363,2.5055126479226817,56,-0.998,1.005289350580792,0.277499695917697
XNG-00045,0,0,0,39.22594644548808,41.338372128368135,565.1637153625488,58.00112533569336,93.52789306640625,93.56616401672363,2.49490495682165,56,-0.998,0.9948724396909365,0.277722869245375
XNG-00046,0,0,0,337.06756973417413,332.05289172241197,3973.2129821777344,62.760841369628906,95.31134796142578,95.37602942330497,0.3884569960387459,5,-0.219,1.1082653673881828,0.5733390307122681
XNG-00047,0.43411770835518837,0.18965870988065914,1.4057266599887617,1165.6724107499927,1145.074876955223,14663.446166992188,1.155488133430481,93.0670394897461,92.88575693766276,0.9312332067713666,9,-0.455,32.760573379407035,0
XNG-00048,0.11718278129895528,0.21085465426246325,1.3338394986428401,1111.11379277867,1135.8961557788914,14545.846069335938,0.6684512495994568,92.73078918457031,92.87526346842448,1.315750183915088,11,-0.455,33.644617378139536,0
XNG-00049,0,0.016997112796224397,3.0517572603933236,939.4636155159045,892.1971351315193,9901.5447998046875,3.527519941329956,93.47882843017578,93.17118131197415,2.8323274992386467,65,-0.455,34.64843825526558,0
XNG-00050,0,0.03615883036206166,2.625611596929743,1104.1422600650972,1065.6186902175075,13645.628234863281,1.6862986087799072,92.76476287841797,93.01131439208984,0.5784690640652025,6,-0.455,35.99912801936345,0
XNG-00051,0,0.017604152538946698,2.9937677297192966,977.4600604016139,926.235803714334,12651.454284667969,3.7775368690490723,93.43372344970703,93.11847496032715,2.4981169009609423,46,-0.455,34.891979511218,0
XNG-00052,0,0.085666166121761,2.07546595573367,1103.3468030346974,1053.154797910969,13486.119018554688,1.866507887840271,93.147308349609375,93.07022857666016,2.3825706375156552,42,-0.455,34.079699086234825,0
XNG-00053,0,0,0,261.58763019513793,257.6180638092088,3297.8535919189453,96.326690673828125,88.51128387451172,88.67935028076172,0.9530484280945777,12,-0.245,52.12917081687718,0
XNG-00054,0,0,0,262.9097287519438,254.7499643903735,3043.74267578125,103.53345489501953,88.17988395690918,87.8673825945173,0.9246761792266065,12,-0.824,51.6979765255833,0
XNG-00055,0,0,0,343.09540857783617,294.9434068861471,4026.9310913085938,30.901836395263672,72.35768127441406,70.8071928024292,0.6618309992612943,6,-0.455,65.80196026560172,0
XNG-00056,0,0,0,140.28768804527638,140.4005111625874,1677.1416702270508,44.407047271728516,85.926422119140625,84.39928490774972,1.1747416208660144,12,-0.455,79.94946758713112,0
XNG-00057,0,0,0,185.0663607691154,184.7434699841814,2366.15962600708,91.48309326171875,96.23929405212402,96.24419504801432,4.004558988697896,360,-0.455,8.796154092818382,0
XNG-00058,0,0,0,296.1705029466052,264.55366483781603,3162.4334106445313,60.84074783325195,95.28101348876953,95.38041196550641,3.772945852296682,358,-0.455,9.653967021681593,0
XNG-00059,0,0,0,185.0663607691154,209.50531642846536,2504.4131240844727,60.84074783325195,96.23929405212402,96.05094637189593,3.9878573875392367,361,-0.455,8.88459599021245,0
XNG-00060,0,0,0,185.0663607691154,209.50531642846536,2504.4131240844727,60.84074783325195,96.23929405212402,96.05094637189593,3.988335624945514,361,-0.455,8.882687468299586,0
XNG-00061,0,0,0,67.80608565030685,67.8060001482516,868.5000228881836,173.8939666748047,99.799560546875,99.80608520507812,1.3429721523631688,25,-0.193,1.1340446661493837,1.2924676108711974
XNG-00062,0,0,0,311.5837301278211,276.30086837710184,3536.2592163085938,22.860621134440105,80.797393798828125,80.7429692586263,0.4986458683682341,5,-0.455,93.40944125694762,0
XNG-00063,0,0,0,38.94851789435884,38.9549161218122,466.00354766845703,68.80235290527344,93.62859344482422,93.69857570103237,3.5877769642156423,112,-0.998,2.242402324148368,0.2923757013538819
XNG-00064,0,0,0,154.11219848142005,154.11253457138204,1975.4999542236328,57.52533721923828,90.80431365966797,90.95487670898437,0.3188054928596056,1,-0.526,1.1402991988332525,0.6715361543601981
XNG-00065,0,0,0,38.8956820372944,40.22196887742397,481.1630516052246,58.00112533569336,93.55866241455078,93.57766505650112,2.666924511490986,64,-0.998,1.1674679743132808,0.3204063119328913
XNG-00066,0,0,0,39.475769300444576,39.21300801061803,469.0909996032715,67.705322265625,93.82696533203125,93.77443640572685,2.9806518507610447,108,-0.998,3.915266190130935,0.3130510341273032
XNG-00067,0,0,0,39.5564315957923,39.459214656563546,505.7552719116211,56.36589813232422,93.87577819824219,93.71959533691407,1.8907006603596859,67,-0.556,3.344986084939433,0.3288344095769334
XNG-00068,0,0,0,67.80671988170342,67.81529393291275,810.7046775817871,185.34954833984375,99.86358642578125,99.85239737374442,1.5108297143798353,40,-0.611,1.315810697615801,0.966394947224736
XNG-00069,0,0,0,15.469372863794664,15.469466876219055,184.7999973297119,119.92296600341797,64.03900909423828,62.93067932128906,0.682212211194684,4,-0.42,44.64025390914146,0
XNG-00070,0,0,0,387.6400806694835,348.54769592877454,2974.3903198242188,NA,82.76689147949219,81.84635543823242,2.5097220302945873,42,-0.386,123.00135263196755,0
XNG-00071,0,0,0,39.25645081854963,39.12157520178884,467.9966621398926,67.705322265625,93.82320785522461,93.7835944039481,3.1872095949652817,115,-0.998,3.943662759937009,0.30009876063053365
XNG-00072,0,0,0,212.00667033025275,212.006986731767,2717.999954223633,23.063913345336914,89.37757110595703,89.19498291015626,0.3776690519105063,4,-0.508,1.0019988742611843,0.35920858992541244
XNG-00073,0,0.013485453509051224,3.872296326474658,258.7145764234391,258.6597106715238,3310.8428344726563,58.62850570678711,99.25694274902344,98.42241058349609,0.6008867419337377,8,-0.245,48.43612265096495,0
XNG-00074,0,0.00474944382400836,5.396550902234673,247.40867171384963,251.70954959791106,3221.884002685547,58.62850570678711,98.34583282470703,97.95635935465495,0.49849009589386917,7,-0.245,48.732625167376426,0
XNG-00075,0,0,0,274.10304508307075,286.2155108226996,3663.6834716796875,32.830684661865234,82.513946533203125,82.9211924235026,1.6003268826434949,29,-0.386,118.60567678389454,0
XNG-00076,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3360360854906469,1,-0.831,62.60326204788933,NA
XNG-00077,0,0,0,334.48703900333487,348.5838383746537,4164.608612060547,25.265629529953003,81.2400131225586,81.9595707484654,1.6207786322100353,52,-0.386,120.34800322173103,0
XNG-00078,0,0,0,183.26029665473175,183.3077145096313,2190.1736450195313,43.73871612548828,86.94535827636719,86.9840818132673,0.8853713739398282,6,-0.557,76.3233697397583,0
XNG-00079,0,0,0,183.26243413285923,211.3145523586533,2705.0929260253906,42.40181350708008,86.576446533203125,86.45248718261719,1.101198212872917,8,-0.557,78.14776838150884,0
XNG-00080,0,0,0,139.87480602625618,161.3777180368992,2065.700859069824,24.507776260375977,85.17308044433594,84.94442901611328,0.6041648271024473,5,-0.557,85.96329131775447,0
XNG-00081,0,0,0,170.01372211152858,196.57675190034567,2516.340286254883,34.211997985839844,85.53041458129883,85.54124501546224,0.21535061250205573,2,-0.557,82.80301731532484,0
XNG-00082,0,0,0,179.5780702938665,195.06877325938805,2663.5670471191406,34.926422119140625,86.1579818725586,86.321197509765625,0.4511098135669705,3,-0.557,82.02928785799747,0
XNG-00083,0,0,0,159.38336800596488,159.9881235520232,1911.2172470092773,12.717972755432129,81.9947280883789,82.19927542550224,0.9387122255427236,6,-0.455,89.90369561935114,0
XNG-00084,0,0,0,159.38336800596488,162.5974759383871,1942.3824996948242,13.002679824829102,82.25032043457031,82.38861901419503,0.8910980336391586,6,-0.455,89.62386733570789,0
XNG-00085,0,0,0,256.21137344980406,209.50531642846536,2504.4131240844727,60.84074783325195,95.84300231933594,96.05094637189593,3.9729339269032335,361,-0.455,9.008133933870292,0
