crossing_id,river_osm_id,river_name,road_osm_id,road_type,is_pedestrian,elev_m,slope_deg,slope_pct,catchment_area_km2,flow_acc_cells,stream_order,mean_precip_mm,flood_Q10,flood_Q50,ntl_500m,ntl_2km,ntl_cv_2km,pop_500m,pop_2km,pop_total_2km,travel_time_min,agri_suit_500m,agri_suit_2km,road_dens_2km,road_count_2km,rwi_2km,rwi_dist_km,dep_ratio_2km,dist_kampala_km,log_ntl_2km,log_pop_2km,log_catchment,log_flood_Q50,log_road_dens,log_travel_time,dist_kampala_km_s,elev_m_s,dep_ratio_clamped,dep_ratio_logit
XNG-00011,1221776076,NA,190996106,tertiary,FALSE,1093.64501953125,1.7224406608763865,3.0078337991938873,38.75203752191222,106952.484375,4,998.30712890625,171.75952138526443,301.68958857949576,0,0,0,38.75782418907173,38.7454663955829,529.7083358764648,70.5420913696289,93.77210235595705,93.8538737297058,3.3287351636405735,115,-0.998,4.139128967604061,0.22282069812641844,260.9805826169313,0,3.6824957816544988,3.6826610981995596,5.712707820257736,1.4652753893282338,4.270285966974014,-0.2321173348380813,-1.2356189294459552,0.22282069812641844,-1.2493036817213166
XNG-00012,1221776064,NA,191125746,tertiary,FALSE,1091.4964599609375,1.9951495438121092,3.484614231991908,0.9065226934359636,2501.92919921875,2,1006.0665283203124,11.148344769728384,19.581677451100987,0,0,0,38.94851789435884,38.9549161218122,466.00354766845703,68.80235290527344,93.62859344482422,93.69857570103235,3.5806440765672964,112,-0.998,2.235307497519484,0.2932596919900656,259.0804886389624,0,3.6877517215077966,0.6452810034368569,3.0244012358840955,1.5218396163103554,4.245667718444788,-0.26621866262698884,-1.2403955997120981,0.2932596919900656,-0.8796047457646013
XNG-00013,467543100,NA,200000483,primary,FALSE,1945.709228515625,4.07568939896517,7.127114711805832,7.3845280496581,20380.69921875,3,1450.5823974609375,70.35223599929282,123.57124055246196,0,0,0,352.13900020011585,352.8174878817922,4216.53125,21.50713157653809,90.73912048339844,90.865234375,0.9871765178402464,13,-0.386,93.10124776172034,0,279.78061308497087,0,5.868781209225981,2.1263881086175362,4.824877765525961,0.6867147959804044,3.113832217946744,0.10529018756108027,0.6586872969847174,0.001,-6.906754778648554
XNG-00014,244518796,NA,202799796,primary,FALSE,1050.119140625,1.8798054439383884,3.28269223834193,4695.469335429129,12959115,8,1305.6761474609375,7159.407546537065,12575.248811638852,0,0,0,287.596349671891,298.0694253488931,3566.512664794922,93.39012908935548,94.6902084350586,94.72971888950892,2.512489486330539,131,-0.213,1.92777614138082,0.539542173047079,144.91366781201674,0,5.70067573824066,8.454566300174275,9.439565299113768,1.2563250414398794,4.547436502952778,-2.315191094926756,-1.3323855141159715,0.539542173047079,0.15849968174956172
XNG-00015,79657769,Oued Tifrit,207062969,secondary,FALSE,1610.22021484375,5.23895077927168,9.176902316337408,0.7199266406037714,1986.939208984375,2,1880.9483642578125,16.037328316599865,28.16900596093765,0,0.0701710325103767,2.6535325299136487,529.0998793722499,698.1297833273993,9538.001983642578,9.578590393066406,77.4444351196289,77.74633264541626,0.45676960962427066,4,-0.386,66.4929071601528,0,253.426251069538,0.06781847916785066,6.549836394995549,0.5422816391040292,3.373106705854265,0.37622138816497797,2.3588321843842994,-0.36769627951697226,-0.08717072732454205,0.001,-6.906754778648554
XNG-00016,244523459,NA,244157805,primary,FALSE,1054.0692138671875,3.574584827346857,6.253371878418812,5663.551009839118,15630942,8,1292.77294921875,8140.292543288492,14298.138982309332,0,0,0,287.5958582782192,295.6144617639748,3537.145248413086,92.0438995361328,94.75648880004884,94.78996767316546,3.2541700274121657,145,-0.213,1.1322082142573175,0.5154616623102715,145.34258970872392,0,5.692433186991153,8.641982913452468,9.567954603407923,1.4478996848115098,4.533071419801289,-2.3074931566326264,-1.3236037248345605,0.5154616623102715,0.061866374220345646
XNG-00017,244523459,NA,244157819,primary,FALSE,1047.913818359375,1.876494301943218,3.277389975155101,4876.27790309427,13458132,8,1297.419189453125,7320.050815629358,12857.413092079592,0,0,0,287.596349671891,292.41710341995133,3998.7288970947266,90.95494842529295,94.690460205078125,94.76566791534424,3.215219422900888,145,-0.213,1.3327020816078852,0.4812265719470898,145.14253117652473,0,5.681595157874725,8.492342536472156,9.461753591427716,1.4387016477265988,4.521298766081808,-2.311083643030981,-1.3372883790116101,0.4812265719470898,-0.07512903028812838
XNG-00018,244523459,NA,244523623,primary,FALSE,1054.9921875,3.061285420732443,5.350529719230741,0.26297410658810183,725.7872314453125,1,1292.77294921875,5.590126789401261,9.818862078794607,0,0,0,287.5958582782192,300.5302851318184,3852.818115234375,92.0438995361328,94.8366527557373,94.80341135660808,2.476886916544174,111,-0.213,1.515218356267764,0.4388390297317333,145.73965529530892,0,5.70887045932106,0.23346934164441988,2.381291099569332,1.2461373292135907,4.533071419801289,-2.300366949256135,-1.321551773020328,0.4388390297317333,-0.24587512792666188
XNG-00019,459350872,NA,262787572,tertiary,FALSE,2140.4375,3.0757634620680365,5.377870410680771,1.2793537965154371,3530.912841796875,2,969.0791625976564,13.886724179187736,24.391545054081103,0,0,0,197.940072672122,189.91601117122343,2592.8499298095703,19.717485427856445,82.32239532470703,82.60633134841919,0.9155820077104728,6,-0.455,81.87041464696439,0,317.5850234748745,0,5.251833599248288,0.8238919802136305,3.234416246723776,0.6500214969335797,3.030978050367165,0.7837727286986127,1.0916065221386733,0.001,-6.906754778648554
XNG-00020,274091059,Wassel,274091058,primary,FALSE,1346.4180908203125,24.269831884474986,45.72684441293989,602.0124609458678,1661505.625,5,749.79736328125,997.4831831349252,1752.0443041986657,0,0,0,68.06190890950123,80.21718973177464,958.279037475586,59.632137298583984,98.9978485107422,99.08271244594027,0.6316855879275065,10,-0.519,48.303925307658446,0,339.32514586173755,0,4.397126920967274,6.40193786143219,7.469109157961062,0.48961358352547696,4.104825070964612,1.173946608665251,-0.6736547044873453,0.001,-6.906754778648554
